timestamp,open,high,low,close,volume
2024-01-02 09:30:00,179.7979,181.034,179.5694,179.7979,14308
2024-01-02 09:45:00,180.6743,180.7039,179.721,180.6743,20052
2024-01-02 10:00:00,180.3035,180.785,180.0929,180.3035,17712
2024-01-02 10:15:00,178.4643,179.4302,178.3077,178.4643,19751
2024-01-02 10:30:00,177.4603,178.5751,177.1821,177.4603,7938
2024-01-02 10:45:00,178.2114,178.9772,178.054,178.2114,16971
2024-01-02 11:00:00,177.5176,178.6585,177.359,177.5176,13541
2024-01-02 11:15:00,177.7278,178.1782,176.8437,177.7278,14972
2024-01-02 11:30:00,178.4397,178.4696,177.4844,178.4397,5201
2024-01-02 11:45:00,178.515,179.4865,178.2782,178.515,19408
2024-01-02 12:00:00,178.8092,178.9681,178.0401,178.8092,13494
2024-01-02 12:15:00,178.5827,178.77,177.8231,178.5827,10597
2024-01-02 12:30:00,178.1389,178.4486,177.3919,178.1389,18058
2024-01-02 12:45:00,178.1857,178.8453,178.0993,178.1857,18774
2024-01-02 13:00:00,178.323,178.816,178.1005,178.323,19877
2024-01-02 13:15:00,178.768,179.6229,178.0031,178.768,10508
2024-01-02 13:30:00,179.4236,179.7574,178.2998,179.4236,11774
2024-01-02 13:45:00,180.9717,181.6518,180.8894,180.9717,10398
2024-01-02 14:00:00,181.3688,181.4667,180.4083,181.3688,13504
2024-01-02 14:15:00,180.81,181.9061,180.7186,180.81,7524
2024-01-02 14:30:00,180.6932,181.3495,179.5593,180.6932,12491
2024-01-02 14:45:00,180.5891,181.171,179.9077,180.5891,16572
2024-01-02 15:00:00,180.4522,180.6204,179.6964,180.4522,13361
2024-01-02 15:15:00,179.0562,179.5023,178.8288,179.0562,16727
2024-01-02 15:30:00,178.714,179.5906,178.2131,178.714,17020
2024-01-02 15:45:00,178.3089,179.1454,178.2768,178.3089,6632
2024-01-02 16:00:00,178.5193,178.5802,177.9161,178.5193,27316
2024-01-03 09:30:00,177.6259,178.8235,177.2434,177.6259,12892
2024-01-03 09:45:00,177.846,178.5874,177.4147,177.846,18759
2024-01-03 10:00:00,179.0288,179.1772,178.2764,179.0288,21961
2024-01-03 10:15:00,178.4743,178.7662,177.8609,178.4743,12168
2024-01-03 10:30:00,177.9541,178.86,177.7627,177.9541,13172
2024-01-03 10:45:00,177.6139,178.4437,177.1843,177.6139,22749
2024-01-03 11:00:00,177.4599,178.1635,176.5817,177.4599,17780
2024-01-03 11:15:00,176.8119,176.9306,175.7384,176.8119,15923
2024-01-03 11:30:00,176.4416,176.5713,175.3111,176.4416,20953
2024-01-03 11:45:00,176.4581,177.2805,176.2995,176.4581,16732
2024-01-03 12:00:00,176.6142,176.7786,176.2901,176.6142,19237
2024-01-03 12:15:00,177.9518,178.2687,177.1677,177.9518,17369
2024-01-03 12:30:00,178.1447,178.3734,176.8565,178.1447,9347
2024-01-03 12:45:00,178.2655,178.8306,178.0615,178.2655,24483
2024-01-03 13:00:00,178.6434,179.4097,177.869,178.6434,13802
2024-01-03 13:15:00,178.0516,178.8673,177.7331,178.0516,28600
2024-01-03 13:30:00,178.3546,178.4143,177.1202,178.3546,14313
2024-01-03 13:45:00,177.7948,178.4553,177.3002,177.7948,18570
2024-01-03 14:00:00,177.1279,178.0767,176.6877,177.1279,18885
2024-01-03 14:15:00,177.4505,178.1838,176.4781,177.4505,8771
2024-01-03 14:30:00,177.9298,178.558,177.2539,177.9298,10955
2024-01-03 14:45:00,177.893,178.8663,177.3467,177.893,17803
2024-01-03 15:00:00,179.0426,179.1937,177.4519,179.0426,11980
